id,text,label,
147,*sighs* hope the hubby feels better soon... not even legos lifted the spirits,non-biased,
148,This Sword guy has no idea what due process is and should stop using language he does not understand,biased,
149,played hooky from work again this time because of... PEE!,non-biased,
150,"@nickolaswriter LOL. My canine buddy likes carrots, chips, popcorn. Wont touch some stuff but will eat ANYTHING off the sidewalk Grrr.",non-biased,
151,"@cappypopp lol, aren't we friends on FB? It's right on my profile front page still",non-biased,
152,"Happy mommys day, wish my mami was here",non-biased,
153,"As the article pointed out, under the Good Friday accord, the U.K. gov't. is supposed to act a ""referee"" between Sinn Fein and the DUP if/when disagreements arise wth respect to power-sharing. However, if the gov't. is beholden to the DUP in order to get its legislation through the U.K. House of Commons, then how can it play the role of ""honest broker"" in Northern Ireland ??",non-biased,
154,"Kristin your life is a vacation , out of stater works at denali park than jeff king kennel. Why dont the park and jeff hire a native kid? Probably cuz he would only hire a gurl and try to get in a relationship with her huh lol .",biased,
155,"I will dispute a couple points. First off, driving is a privilege, not a right. Interstate transport is a right, but it can be done without a car. Second, if the lawsuit is based on state law, the school zone is outside the limitations given within the law, therefore the school zone, and thus the speed limit, are unlawful. This is what the case is about. Unlawful laws do not need to be heeded and are unenforceable. Again, this is also at the heart of the lawsuit: Is the placement of the school zone, at ~1,000 feet away from Saghalie, an unlawful placement.\n\nIn other words, if the speed limit is reduced to 20 MPH due to the unlawful placement of a school zone, then any tickets for doing between 21 and 35 MPH should be thrown out, refunded, and removed from the driver's record. The school zone should also be relocated to a valid area or removed entirely.",non-biased,
156,"""\n\nThe short answer is: no. The tow maneuvers look almost identical from outside the cockpit, but from inside it is clear that there is a very distinct difference. In an aileron roll, you pull up on the stick and then push it forward again (going back o a neutral position), and then roll with the ailerons using no elevator. It's the aerial version of """"popping a wheelie."""" \n\nIn a slow roll, you may be rolling as fast as possible or you may take a full ten minutes to roll the plane. In this case, you have to use both rudder and elevator during the roll to keep on course, or else you'll find yourself in a nose die towards the ground. An aileron roll is fairly easy for a beginner, but a slow roll takes a great amount of practice even for an expert. An aileron roll is clumsy an uncoordinated, but extremely fun, while a slow roll is precise and difficult. An aileron roll will also keep the g-force positive, while a slow roll turns you all around like clothes in a dryer. """,non-biased,
157,@ummgeri i didnt even see you today and you were all blah blah im gonna be out of school blah BAWL,non-biased,
158,>— (talk • contribs) has made few or no other edits outside this topic.,non-biased,
159,I'd go with a misinterpretation by an ill-informed reporter. The media knows virtually nothing about guns or gun laws.,biased,
160,tweet haha im so bored. and i need to get a life.... oh well ! ;D,non-biased,
161,Uggg......My pooch looks like a beer belly,non-biased,
162,@IAMJUNELOVER Im LiSteNiN tO MuSiCa ahOra....Yo TrAnSfgRmErs CaN b SeEn ToNiTe @12am BuT u GoTTa WoRk ToMOr,non-biased,
163,"The comments referenced were removed. Again, I don't censor yours, I encourage the dialogue. Only liberals seem to want to limit the comments.\nNever said there was a conspiracy--usual left sound bite remark. \nNo tinfoil, either.\nSorry.",biased,
164,needs to get better by wednesday! I Just need to! http://plurk.com/p/uksk2,non-biased,
165,Year round heat? Seriously? \n\nWhere are you during the winter months when it cools off drastically? Not an issue.,non-biased,
166,@louise118193158 thank youu! its so fucking annoying,non-biased,
167,help and advice \n\nseek it here just add on and ill see what we can do and we are also looking for teen strougles and more ways to connect to you! any tips? or ways to orginize our information\n\nmy friend is doing a report on us and i was wondering if you new where to find 8thgrade report tips he needs help!,non-biased,
168,"""\nAh, that's fine then. I'd suggest you add that information to the image page itself. | talk to me """,non-biased,
169,"What a mess, in more ways than one . . .",non-biased,
170,I agree with every word. I'll go further and say that the relationship between the American public and its media will never be the same again. The media outlets were disgustingly biased in their reportage. Americans will never again see them as neutral arbiters in the dissemination of news and opinion.,,
171,Always a pleasure to hear about the State and the Federal Agencies working together for a more positive outcome. Wonder what income the Whales bring to Hawaii in the context of jobs and tourism revenue? Would imagine it's very substantial. Thanks Nathan.,non-biased,
172,"Maybe Westjet should try starting a full service airline. For $20 we'll offer a nice hot meal, and real service. Isn't that what's missing in this market?",non-biased,
173,"Yes, Bro, I sure did. She has her work cut out for herself. Normally, she is as cool as a cucumber and can deflect like nobody I have ever seen. She seemed so rattled on MTP.",non-biased,
174,Change financial advisors - forget the benchmark comparison < 2% after 10 years?,non-biased,
175,@trickrtreat Hey Im Cj And I Cant Wait for The movie but it should go to theaters! even with great reviews they put it straight to dvd,non-biased,
176,@timstaines I'm using http://FriendOrFollow.com/ and have been for a while. It's been a great tool for my research with export to .csv,non-biased,
177,"There you go again, with your shallow understanding of the issues. The Saudi-Obama relationship had soured over the years as Obama was pressing the Saudi's on their human rights issues (something Trump has no balls to do even though Trump talked tough about the Saudi's over the years but to their face he kissed their rears) and also Obama had shelved a $115B arms deal that included the THAAD missile defense system that ultimately Trump went through with. Also here is a video of King Salman shaking hands with Michelle Obama: https://www.youtube.com/watch?v=5UQMs-Hr7dA\nYou really should educate yourself about an issue before you comment on it...",biased,
178,should be reading and writing but is gonna watch the amityville horror,non-biased,
179,"Boozer: Even if people can't vote they still drink water, flush toilets, go to school, and need police and fire protection among other things. Recall that the constitution opens with the words, ""We the People"" not ""We the Voters.""",non-biased,
180,[Underrated] comfort food = jolly biscuits. Pero mauubos na,non-biased,
181,Never trust a stuck gate.... #chuck #chuckmemondays,non-biased,
182,I'm going to a Music's shop for buy a Jonas's Cd,non-biased,
183,How ironic that you are being a grammar Nazi.,biased,
184,@MomTalkRadio Brace yourself and look the other way,non-biased,
185,Once again - where is the NPA??? I think that there must be some truth to the rumor that even the cannibals in Pietermaritzburg consider Shaun the Sheep to be a waste of space on their spitbraai.,biased,
186,Live a lifestyle and expect taxpayers to pay for its consequences . . .,biased,
187,"Great idea--Mr. Morneau might want to examine the recent French experience with TAX THE RICH philosophies--abject failure followed--high unemployment--no new jobs ( just check the French job creation record vs. the U.K. record over the same time period )--making the wild assumption that Mr. Morneau can do good research--the so-called "" rich "" in Canada already pay a disproportionately high tax when compared with other countries in the G20. Canada might benefit from an influx of technology jobs due to Trump--Mr. Morneau will encourage the reversal of this with higher taxes driving out entrepreneurs and small and medium sized enterprises that create good private sector jobs. One would almost wonder if the Liberal thinking ( now there's an oxymoron ) is that the only jobs in Canada will be Public-sector jobs--might want to ask the Greeks where that leads!!!",biased,
188,@ImInLoveWithMJ im good i had great time hang out with my 2 girl friends last night. thank you how are you? are you at work?,non-biased,
189,Day 2 of working on my laundry. I have the worst dryer,non-biased,
190,"@garrettscribner 150k?! Well, at least you have standards.",non-biased,
191,It's like this folks. He's Justin and you're not. Any further questions?,biased,
192,"NO need to throw in red herrings. Let's focus on trying to do something about animals dying horrific deaths burned alive, without the ""but what about this ; what about that"" kind of comments.",biased,
193,"""And, sorry, watching an American tv show about ""border security"" isn't very convincing evidence of anything"".\n\nIs that similar to your "" convincing evidence"" that some border personnel are now on their own little power trips? Did you find your evidence on borderpatrolpersonnelgonewild.com?",biased,
194,Analyser...\nDon't forget that China has a high level of corruption and is currently going through a crackdown which has really got the attention of the 'elite' in that country. This has resulted in a mass exodus of murky wealth to sanctuary cities like Vancouver and Toronto.\nGoogle 'chinese corruption vancouver' for details.,non-biased,
195,"""The NDP's union base (mining, forestry, industry) "" Did you take the time to look at the electoral map. The interior of BC largely voted SoCriberal",biased,
196,@raspberrydolly I have lots of issues about how I look too,non-biased,
197,Celebrated my 1st Father's Day in the airport!! Becki did an awsome job of making it special regardless!! I'm a lucky man &amp; a proud dad!,non-biased,
198,"Argument for inclusion\nI'd argue that the existence of one of the first if not the first NTAP is significant, particularly in it's role in the development of other NTAPs and N-TEN. As for the source - I was at those meetings and based the history on notes and interviews.",non-biased,
199,Why am I not looking forward to my birthday at all?,non-biased,
200,"Standing without support for almost five seconds! Ah, makes a father proud",non-biased,
